p_n(x),n,i,x_i,w_i
P_n(x),1,0,0.0,2.0
P_n(x),2,0,-0.577350269189583,1.0
P_n(x),2,1,0.577350269189583,1.0
P_n(x),3,0,-0.774596669241483,0.55555555555557
P_n(x),3,1,2.4e-14,0.888888888888888
P_n(x),3,2,0.774596669241483,0.555555555555542
P_n(x),4,0,-0.861136311593712,0.347854845137783
P_n(x),4,1,-0.339981043584852,0.652145154862217
P_n(x),4,2,0.339981043584852,0.652145154862217
P_n(x),4,3,0.861136311593712,0.347854845137783
P_n(x),5,0,-0.906179845938663,0.236926885056328
P_n(x),5,1,-0.538469310105247,0.478628670499772
P_n(x),5,2,6.8e-14,0.568888888887888
P_n(x),5,3,0.538469310105247,0.478628670499661
P_n(x),5,4,0.906179845938663,0.236926885056352
P_n(x),6,0,-0.932469514203148,0.171324492379175
P_n(x),6,1,-0.661209386466265,0.360761573048132
P_n(x),6,2,-0.238619186083197,0.467913934572693
P_n(x),6,3,0.238619186083197,0.467913934572693
P_n(x),6,4,0.661209386466265,0.360761573048132
P_n(x),6,5,0.932469514203148,0.171324492379175
P_n(x),7,0,-0.949107912342727,0.129484966168921
P_n(x),7,1,-0.741531185599395,0.279705391489165
P_n(x),7,2,-0.405845151377397,0.381830050505295
P_n(x),7,3,1.36e-13,0.417959183673419
P_n(x),7,4,0.405845151377397,0.38183005050505
P_n(x),7,5,0.741531185599395,0.279705391489249
P_n(x),7,6,0.949107912342727,0.1294849661689
P_n(x),8,0,-0.960289856497534,0.101228536290414
P_n(x),8,1,-0.79666647741355,0.222381034453397
P_n(x),8,2,-0.525532409916329,0.313706645877805
P_n(x),8,3,-0.18343464249565,0.362683783378383
P_n(x),8,4,0.18343464249565,0.362683783378383
P_n(x),8,5,0.525532409916329,0.313706645877805
P_n(x),8,6,0.79666647741355,0.222381034453397
P_n(x),8,7,0.960289856497534,0.101228536290414
P_n(x),9,0,-0.968160239508005,0.081274388361074
P_n(x),9,1,-0.836031107326636,0.180648160695706
P_n(x),9,2,-0.613371432700601,0.260610696402242
P_n(x),9,3,-0.324253423403811,0.312347077040765
P_n(x),9,4,2.31e-13,0.330239355000739
